ts_code,chairman,manager,secretary,reg_capital,setup_date,province
301052.SZ,路金波,瞿洪斌,蔡钰如,9895.9339,20120606,浙江
301259.SZ,钟儒波,赵桂林,徐超,15600.0,20130204,湖南
301283.SZ,陈曙光,陈曙光,廖燕桃,8041.7822,20121019,广东
301117.SZ,朱伟民,朱伟民,张顺,12916.862,19940830,四川
003012.SZ,何新明,何颖,黄征,115698.1158,20111104,广东
300989.SZ,王富海,朱旭辉,,21095.9534,20080507,广东
300804.SZ,蔡丹群,蔡丹群,陈海霞,7400.0,20031017,广东
300984.SZ,杨伟,郑立成,陈亦霏,12326.8602,20110614,浙江
301336.SZ,李勇,李勇,张立军,4000.0,20141022,四川
300188.SZ,滕达,周成祖,高碧梅,85947.731,19990922,福建
300516.SZ,郭良贤,洪普,吴昌仁,18000.0,20010427,湖北
300654.SZ,任志鸿,任伦,善静宜,36612.4852,20040427,山东
301076.SZ,严留新,严留新,李翔飞,17488.12,20080725,江苏
002700.SZ,宋应龙,宋应龙,宋应龙,41362.8185,20060221,新疆
301376.SZ,宋川,宋川,秦永吉,40246.8975,20100108,河南
301069.SZ,王加荣,孙庆民,王荣海,42064.7429,20051220,山东
300252.SZ,黄昌华,余昕,伍婧娉,66215.3834,20020402,广东
300600.SZ,葛颖,赵辉章,伍宏发,29423.448,19930209,江苏
002752.SZ,林永保,林永保,刘嘉屹,97691.8468,19921204,福建
001376.SZ,张春龙,张春龙,刘宜峰,46090.0,20100513,江西
300194.SZ,汪天祥,汪璐,汤沁,118971.2382,20040225,重庆
002604.SZ,程少博,朱占祥,杨少德,59956.1402,20010612,山东
301395.SZ,邱汉周,陈章华,李广袤,24285.0438,20110121,广东
300908.SZ,孙锋,朱新成,王飞,14600.0,20020929,河南
301133.SZ,辛洪萍,辛洪萍,王贤诚,10662.3504,20040531,广东
300374.SZ,安振山,汪平,郑铁虎,24591.2337,20060831,北京
300428.SZ,臧永兴,臧永兴,李志国,63949.7151,19980728,河北
301558.SZ,ZHONGBIN SUN,ZHONGBIN SUN,ZHONGBIN SUN,78885.1223,20080107,广东
002812.SZ,Paul Xiaoming Lee,李晓华,白云飞,96815.9086,20060405,云南
300299.SZ,杨方熙,黄孝銮,林建平,69030.0085,20010302,福建
300565.SZ,陈登志,陈登志,李茵,24970.4612,20010828,广东
300919.SZ,邓伟明,邓伟明,唐华腾,93802.8458,20140915,贵州
002789.SZ,张有文,张有文,钟孟光,15962.3514,19940103,广东
001366.SZ,邹新华,邹新华,曹思颖,16068.0,20060518,江西
301176.SZ,张剑萌,刘磊,LIU LEI,16906.6667,20031022,江西
300853.SZ,陈如申,曹光客,朱鸯鸯,14694.5918,20020905,浙江
301005.SZ,宋广东,宋广东,李红涛,13426.7251,20011228,上海
301095.SZ,郑勇军,郑勇军,陆春龙,20028.1088,20030812,浙江
002960.SZ,蔡为民,康亚臻,颜芳,87532.1707,20010615,河北
300742.SZ,李迅,,李迅,14129.7426,20120419,江苏
301555.SZ,杨裕镜,康耀伦,沈飞,9226.67,20101215,上海
301566.SZ,王大玮,王大玮,才纯库,40001.0,20110317,辽宁
301121.SZ,朱传钦,朱传钦,肖开清,9882.6057,20110708,重庆
301152.SZ,王瑞庆,王瑞庆,,11874.0007,20090305,河南
301575.SZ,吴剑斌,吴剑斌,鲍正军,8667.0,20050728,江西
300679.SZ,陈育宣,聂成文,聂成文,42482.0,20061120,广东
002977.SZ,楼继勇,陈镭,何健,12012.0,20050317,四川
002952.SZ,贾继涛,贾继涛,边瑞群,16434.0,20120709,辽宁
301083.SZ,刘润根,刘润根,刘子尧,17786.6667,19990120,江西
301148.SZ,董正军,蒋林煜,王思婷,11649.708,20050228,福建
300787.SZ,周洪亮,周洪亮,韩双,31343.2952,20090715,江西
300696.SZ,谢鹏,刘晓芬,陈苗,29315.2983,20040301,四川
001395.SZ,郭西强,王勇,张世骏,8724.0,20050708,吉林
002983.SZ,彭友,李泉涌,唐先胜,22343.2221,20120515,安徽
300841.SZ,王振滔,吴红波,吴文年,12994.6899,20040402,四川
301606.SZ,何梦新,何梦新,王立珍,41490.9806,20120316,广东
300719.SZ,赵子安,赵子安,陶镜吉,25422.715,20011203,北京
301446.SZ,彭香安,郑清波,彭玮,10400.0,20050408,江西
301235.SZ,谭平涛,谢新强,彭沾,10777.3539,20081112,湖北
