ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
301047.SZ,20250630,其他主营业务,P,1748554.71,438220.74,1310333.97,CNY
301047.SZ,20250630,重组蛋白,P,146143315.15,124386959.19,21756355.96,CNY
301047.SZ,20250630,培养基类,P,13484161.35,7673095.91,5811065.44,CNY
301047.SZ,20250630,房屋租赁,P,14137201.74,10523393.29,3613808.45,CNY
301047.SZ,20250630,重组蛋白,P,146143315.15,124386959.19,21756355.96,CNY
301047.SZ,20250630,抗体,P,44383113.38,40354100.25,4029013.13,CNY
301047.SZ,20250630,培养基类,P,13484161.35,7673095.91,5811065.44,CNY
301047.SZ,20250630,CRO服务,P,99737469.52,52084631.86,47652837.66,CNY
301047.SZ,20250630,重组蛋白,P,146143315.15,124386959.19,21756355.96,CNY
301047.SZ,20250630,抗体,P,44383113.38,40354100.25,4029013.13,CNY
301047.SZ,20250630,房屋租赁,P,14137201.74,10523393.29,3613808.45,CNY
301047.SZ,20250630,房屋租赁,P,14137201.74,10523393.29,3613808.45,CNY
301047.SZ,20250630,抗体,P,44383113.38,40354100.25,4029013.13,CNY
301047.SZ,20250630,CRO服务,P,99737469.52,52084631.86,47652837.66,CNY
301047.SZ,20250630,基因,P,4821358.94,4647059.25,174299.69,CNY
301047.SZ,20250630,基因,P,4821358.94,4647059.25,174299.69,CNY
301047.SZ,20250630,培养基类,P,13484161.35,7673095.91,5811065.44,CNY
301047.SZ,20250630,CRO服务,P,99737469.52,52084631.86,47652837.66,CNY
301047.SZ,20250630,培养基类,P,13484161.35,7673095.91,5811065.44,CNY
301047.SZ,20250630,其他主营业务,P,1748554.71,438220.74,1310333.97,CNY
301047.SZ,20250630,CRO服务,P,99737469.52,52084631.86,47652837.66,CNY
301047.SZ,20250630,基因,P,4821358.94,4647059.25,174299.69,CNY
301047.SZ,20250630,抗体,P,44383113.38,40354100.25,4029013.13,CNY
301047.SZ,20250630,基因,P,4821358.94,4647059.25,174299.69,CNY
301047.SZ,20250630,其他主营业务,P,1748554.71,438220.74,1310333.97,CNY
