ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
600668.SH,20250630,健康品,P,81726164.73,20062611.44,61663553.29,CNY
600668.SH,20250630,其他主营业务,P,146057134.21,35301521.78,110755612.43,CNY
600668.SH,20250630,药品,P,468042307.48,104194249.49,363848057.99,CNY
600668.SH,20250630,建材,P,587256751.53,154310799.88,432945951.65,CNY
600668.SH,20250630,其他业务,P,15653458.16,10054271.31,5599186.85,CNY
600668.SH,20250630,健康品,P,81726164.73,20062611.44,61663553.29,CNY
600668.SH,20250630,其他业务,P,15653458.16,10054271.31,5599186.85,CNY
600668.SH,20250630,药品,P,468042307.48,104194249.49,363848057.99,CNY
600668.SH,20250630,其他主营业务,P,146057134.21,35301521.78,110755612.43,CNY
600668.SH,20250630,建材,P,587256751.53,154310799.88,432945951.65,CNY
600668.SH,20241231,医药工业,P,538252700.0,178539100.0,359713600.0,CNY
600668.SH,20241231,医药行业,I,943072000.0,213938800.0,729133200.0,CNY
600668.SH,20241231,其他主营业务,P,263226800.0,27294600.0,235932200.0,CNY
600668.SH,20241231,浙江,D,1006361400.0,283275000.0,723086400.0,CNY
600668.SH,20241231,其他(行业),I,263226800.0,27294600.0,235932200.0,CNY
600668.SH,20241231,医药商业,P,404819300.0,35399700.0,369419600.0,CNY
600668.SH,20241231,其他业务,P,157852802.95,106265836.08,51586966.87,CNY
600668.SH,20241231,上海地区,D,220552500.0,-36951900.0,257504400.0,CNY
600668.SH,20241231,水泥,P,1165152300.0,200104100.0,965048200.0,CNY
600668.SH,20241231,健康品行业,I,169201400.0,45637900.0,123563500.0,CNY
600668.SH,20241231,建材行业,I,1343123600.0,311281400.0,1031842200.0,CNY
600668.SH,20241231,健康品,P,169201400.0,45637900.0,123563500.0,CNY
600668.SH,20241231,湖北,D,768201800.0,240382300.0,527819500.0,CNY
600668.SH,20241231,贵州,D,258492700.0,25435200.0,233057500.0,CNY
600668.SH,20241231,其他业务(行业),I,157852802.95,106265836.08,51586966.87,CNY
600668.SH,20241231,其他业务(地区),D,157852802.95,106265736.08,51587066.87,CNY
600668.SH,20241231,天津市,D,148586300.0,40548200.0,108038100.0,CNY
600668.SH,20241231,云南,D,316429100.0,45464000.0,270965100.0,CNY
600668.SH,20241231,机制砂,P,177971300.0,111177300.0,66794000.0,CNY
600668.SH,20240630,分部间抵销,P,-26010242.74,7480276.19,-33490518.93,CNY
600668.SH,20240630,其他业务,P,72682518.93,31802884.35,40879634.58,CNY
600668.SH,20240630,健康品,P,77214809.31,20179959.27,57034850.04,CNY
600668.SH,20240630,建材,P,591982334.28,104393770.12,487588564.16,CNY
600668.SH,20240630,药品,P,522538008.73,116828548.32,405709460.41,CNY
600668.SH,20240630,其他主营业务,P,120401260.39,15046250.68,105355009.71,CNY
600668.SH,20231231,健康品行业,I,128904700.0,38544800.0,90359900.0,CNY
600668.SH,20231231,健康品,P,128904700.0,38544800.0,90359900.0,CNY
600668.SH,20231231,其他主营业务,P,199973000.0,29778900.0,170194100.0,CNY
600668.SH,20231231,医药商业,P,424070500.0,36054000.0,388016500.0,CNY
600668.SH,20231231,水泥,P,1421519300.0,272638700.0,1148880600.0,CNY
600668.SH,20231231,浙江,D,991476200.0,306343200.0,685133000.0,CNY
600668.SH,20231231,机制砂,P,33239900.0,10483500.0,22756400.0,CNY
600668.SH,20231231,天津市,D,112628000.0,33833200.0,78794800.0,CNY
600668.SH,20231231,湖北,D,739303900.0,152193500.0,587110400.0,CNY
600668.SH,20231231,医药工业,P,557435300.0,204019300.0,353416000.0,CNY
600668.SH,20231231,建材行业,I,1454759200.0,283122200.0,1171637000.0,CNY
600668.SH,20231231,其他业务(地区),D,128226191.91,82589186.71,45637005.2,CNY
