ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
600711.SH,20250630,基本金属,P,3849141556.74,149822596.74,3699318960.0,CNY
600711.SH,20250630,中国港澳台地区及海外地区,D,8519732146.03,2366783321.84,6152948824.19,CNY
600711.SH,20250630,贵金属贸易业务,P,767999531.65,37488652.53,730510879.12,CNY
600711.SH,20250630,贵金属贸易业务,P,767999531.65,37488652.53,730510879.12,CNY
600711.SH,20250630,中国港澳台地区及海外地区,D,8519732146.03,2366783321.84,6152948824.19,CNY
600711.SH,20250630,中国港澳台地区及海外地区,D,8519732146.03,2366783321.84,6152948824.19,CNY
600711.SH,20250630,能源金属,P,9186774170.33,2495652007.71,6691122162.62,CNY
600711.SH,20250630,基本金属,P,3849141556.74,149822596.74,3699318960.0,CNY
600711.SH,20250630,中国港澳台地区及海外地区,D,8519732146.03,2366783321.84,6152948824.19,CNY
600711.SH,20250630,中国大陆,D,5284183112.69,316179935.14,4968003177.55,CNY
600711.SH,20250630,贵金属贸易业务,P,767999531.65,37488652.53,730510879.12,CNY
600711.SH,20250630,贵金属贸易业务,P,767999531.65,37488652.53,730510879.12,CNY
600711.SH,20250630,中国大陆,D,5284183112.69,316179935.14,4968003177.55,CNY
600711.SH,20250630,能源金属,P,9186774170.33,2495652007.71,6691122162.62,CNY
600711.SH,20250630,中国大陆,D,5284183112.69,316179935.14,4968003177.55,CNY
600711.SH,20250630,中国港澳台地区及海外地区,D,8519732146.03,2366783321.84,6152948824.19,CNY
600711.SH,20250630,基本金属,P,3849141556.74,149822596.74,3699318960.0,CNY
600711.SH,20250630,贵金属贸易业务,P,767999531.65,37488652.53,730510879.12,CNY
600711.SH,20250630,能源金属,P,9186774170.33,2495652007.71,6691122162.62,CNY
600711.SH,20250630,能源金属,P,9186774170.33,2495652007.71,6691122162.62,CNY
600711.SH,20250630,能源金属,P,9186774170.33,2495652007.71,6691122162.62,CNY
600711.SH,20250630,能源金属,P,9186774170.33,2495652007.71,6691122162.62,CNY
600711.SH,20250630,贵金属贸易业务,P,767999531.65,37488652.53,730510879.12,CNY
600711.SH,20250630,能源金属,P,9186774170.33,2495652007.71,6691122162.62,CNY
600711.SH,20250630,能源金属,P,9186774170.33,2495652007.71,6691122162.62,CNY
600711.SH,20250630,中国港澳台地区及海外地区,D,8519732146.03,2366783321.84,6152948824.19,CNY
600711.SH,20250630,中国大陆,D,5284183112.69,316179935.14,4968003177.55,CNY
600711.SH,20250630,贵金属贸易业务,P,767999531.65,37488652.53,730510879.12,CNY
600711.SH,20250630,中国港澳台地区及海外地区,D,8519732146.03,2366783321.84,6152948824.19,CNY
600711.SH,20250630,基本金属,P,3849141556.74,149822596.74,3699318960.0,CNY
600711.SH,20250630,能源金属,P,9186774170.33,2495652007.71,6691122162.62,CNY
600711.SH,20250630,能源金属,P,9186774170.33,2495652007.71,6691122162.62,CNY
600711.SH,20250630,中国港澳台地区及海外地区,D,8519732146.03,2366783321.84,6152948824.19,CNY
600711.SH,20250630,能源金属,P,9186774170.33,2495652007.71,6691122162.62,CNY
600711.SH,20250630,基本金属,P,3849141556.74,149822596.74,3699318960.0,CNY
