trade_date,ts_code,name,close,change,rank,market_type,amount,net_amount,buy,sell
20250213,000063.SZ,中兴通讯,39.77,-2.17,10,3,875203332.0,,,
20250213,000158.SZ,常山北明,27.26,0.69,6,3,931858826.0,,,
20250213,000333.SZ,美的集团,72.14,-1.14,5,3,1174090424.0,,,
20250213,000858.SZ,五粮液,131.51,3.81,3,3,1607934733.0,,,
20250213,000977.SZ,浪潮信息,60.67,-2.27,7,3,931101702.0,,,
20250213,002371.SZ,北方华创,409.65,-5.01,9,3,909416620.0,,,
20250213,002594.SZ,比亚迪,341.3,-3.75,2,3,2040872514.0,,,
20250213,300059.SZ,东方财富,24.16,-0.38,4,3,1485112086.0,,,
20250213,300750.SZ,宁德时代,261.39,6.09,1,3,2648110843.0,,,
20250213,301236.SZ,软通动力,68.46,-2.64,8,3,910576515.0,,,
20250213,600030.SH,中信证券,28.12,-0.15,2,1,1324692283.0,,,
20250213,600036.SH,招商银行,41.71,0.09,6,1,885914367.0,,,
20250213,600519.SH,贵州茅台,1465.06,22.06,1,1,1815655703.0,,,
20250213,601138.SH,工业富联,21.79,-0.36,8,1,778602270.0,,,
20250213,601162.SH,天风证券,5.01,0.24,5,1,927834585.0,,,
20250213,601727.SH,上海电气,8.79,0.23,9,1,751809151.0,,,
20250213,603501.SH,韦尔股份,136.05,0.75,3,1,1297131263.0,,,
20250213,603986.SH,兆易创新,127.68,-7.3,10,1,749094433.0,,,
20250213,688111.SH,金山办公,386.0,-7.09,4,1,1184402106.0,,,
20250213,688256.SH,寒武纪,638.0,-18.0,7,1,856728423.0,,,
