trade_date,ts_code,name,close,change,rank,market_type,amount,net_amount,buy,sell
20250306,000063.SZ,中兴通讯,38.0,0.99,6,3,940311706.0,,,
20250306,000333.SZ,美的集团,71.14,-0.61,5,3,942251575.0,,,
20250306,000858.SZ,五粮液,131.68,3.07,7,3,936333830.0,,,
20250306,002371.SZ,北方华创,462.38,30.0,4,3,1429465073.0,,,
20250306,002475.SZ,立讯精密,42.37,0.46,9,3,824299680.0,,,
20250306,002594.SZ,比亚迪,358.93,4.97,3,3,1510949938.0,,,
20250306,002916.SZ,深南电路,132.51,7.25,8,3,896196294.0,,,
20250306,300059.SZ,东方财富,23.93,0.95,2,3,2181393515.0,,,
20250306,300454.SZ,深信服,125.26,15.88,10,3,800761206.0,,,
20250306,300750.SZ,宁德时代,264.31,3.32,1,3,2482090298.0,,,
20250306,600030.SH,中信证券,28.0,0.66,10,1,970351066.0,,,
20250306,600036.SH,招商银行,42.96,0.07,9,1,1135044990.0,,,
20250306,600050.SH,中国联通,6.53,0.27,8,1,1174439440.0,,,
20250306,600519.SH,贵州茅台,1505.98,39.61,1,1,1947018108.0,,,
20250306,601127.SH,赛力斯,134.87,8.27,7,1,1205368413.0,,,
20250306,601318.SH,中国平安,51.64,1.26,4,1,1354585132.0,,,
20250306,603501.SH,韦尔股份,147.05,1.97,6,1,1289112823.0,,,
20250306,688041.SH,海光信息,163.03,9.08,3,1,1499184959.0,,,
20250306,688111.SH,金山办公,398.08,42.56,5,1,1315457525.0,,,
20250306,688256.SH,寒武纪,775.0,63.6,2,1,1639329452.0,,,
