trade_date,ts_code,name,close,change,rank,market_type,amount,net_amount,buy,sell
20251031,000333.SZ,美的集团,76.4,1.1,8,3,1253496863.0,None,None,None
20251031,000338.SZ,潍柴动力,14.96,0.52,10,3,1241239379.0,None,None,None
20251031,002460.SZ,赣锋锂业,69.02,-3.35,9,3,1251831118.0,None,None,None
20251031,002466.SZ,天齐锂业,53.4,-2.28,7,3,1471378367.0,None,None,None
20251031,002475.SZ,立讯精密,63.0,-2.04,4,3,2830802613.0,None,None,None
20251031,300274.SZ,阳光电源,189.8,-4.88,2,3,3471517554.0,None,None,None
20251031,300308.SZ,中际旭创,473.01,-41.73,1,3,5081917872.0,None,None,None
20251031,300476.SZ,胜宏科技,294.0,-34.6,6,3,2029048008.0,None,None,None
20251031,300502.SZ,新易盛,344.31,-29.69,5,3,2478909761.0,None,None,None
20251031,300750.SZ,宁德时代,388.77,-9.52,3,3,3394600321.0,None,None,None
20251031,600276.SH,恒瑞医药,64.15,1.27,4,1,1320792133.0,None,None,None
20251031,600519.SH,贵州茅台,1430.01,3.27,7,1,1075037104.0,None,None,None
20251031,601012.SH,隆基绿能,21.11,-0.4,5,1,1237039754.0,None,None,None
20251031,601138.SH,工业富联,72.0,-5.97,1,1,2860180166.0,None,None,None
20251031,601899.SH,紫金矿业,30.5,-0.61,8,1,1070751797.0,None,None,None
20251031,603259.SH,药明康德,99.4,2.34,6,1,1206429836.0,None,None,None
20251031,603986.SH,兆易创新,220.0,-12.0,3,1,1400364650.0,None,None,None
20251031,688027.SH,国盾量子,579.8,-19.2,10,1,1020038658.0,None,None,None
20251031,688111.SH,金山办公,358.99,13.95,9,1,1025304684.0,None,None,None
20251031,688256.SH,寒武纪,1375.0,-47.0,2,1,1492554038.0,None,None,None
20251030,000333.SZ,美的集团,75.3,0.9,8,3,1217711978.0,None,None,None
20251030,002371.SZ,北方华创,415.5,-8.12,9,3,1211153846.0,None,None,None
20251030,002475.SZ,立讯精密,65.04,-2.24,5,3,2524975963.0,None,None,None
20251030,300059.SZ,东方财富,25.63,-0.86,10,3,1150806906.0,None,None,None
20251030,300274.SZ,阳光电源,194.68,3.19,2,3,4806175335.0,None,None,None
20251030,300308.SZ,中际旭创,514.74,-5.98,3,3,4486067395.0,None,None,None
20251030,300476.SZ,胜宏科技,328.6,-10.4,6,3,1669198083.0,None,None,None
20251030,300502.SZ,新易盛,374.0,-32.1,4,3,3467911526.0,None,None,None
20251030,300750.SZ,宁德时代,398.29,-1.71,1,3,4834462453.0,None,None,None
20251030,301308.SZ,江波龙,283.0,10.18,7,3,1218444946.0,None,None,None
20251030,600030.SH,中信证券,29.68,-0.62,10,1,1297649387.0,None,None,None
20251030,600036.SH,招商银行,41.2,0.43,8,1,1651719628.0,None,None,None
20251030,600276.SH,恒瑞医药,62.88,-1.14,6,1,1940641189.0,None,None,None
20251030,600519.SH,贵州茅台,1426.74,-5.16,3,1,2660342290.0,None,None,None
20251030,601012.SH,隆基绿能,21.51,0.72,9,1,1519835523.0,None,None,None
20251030,601138.SH,工业富联,77.97,-2.83,1,1,3395194610.0,None,None,None
20251030,601899.SH,紫金矿业,31.11,0.15,5,1,2124259682.0,None,None,None
20251030,603259.SH,药明康德,97.06,-8.98,4,1,2134581361.0,None,None,None
20251030,688012.SH,中微公司,300.04,3.38,7,1,1659228541.0,None,None,None
20251030,688256.SH,寒武纪,1422.0,-39.0,2,1,2974743728.0,None,None,None
20251028,000333.SZ,美的集团,74.41,-0.47,10,3,985059135.0,None,None,None
20251028,002050.SZ,三花智控,52.61,3.99,8,3,1242218117.0,None,None,None
20251028,002371.SZ,北方华创,426.0,-3.1,7,3,1374548405.0,None,None,None
20251028,002475.SZ,立讯精密,64.66,-0.74,4,3,2154650235.0,None,None,None
20251028,300124.SZ,汇川技术,77.31,-0.96,9,3,1107570123.0,None,None,None
20251028,300274.SZ,阳光电源,165.88,-1.07,6,3,1645298726.0,None,None,None
20251028,300308.SZ,中际旭创,513.0,4.06,2,3,4190167572.0,None,None,None
20251028,300476.SZ,胜宏科技,327.0,-13.32,5,3,1843014869.0,None,None,None
20251028,300502.SZ,新易盛,410.62,6.67,3,3,3201777003.0,None,None,None
20251028,300750.SZ,宁德时代,386.48,0.3,1,3,4320543238.0,None,None,None
20251028,600031.SH,三一重工,21.95,-0.58,7,1,1193436401.0,None,None,None
20251028,600183.SH,生益科技,67.39,3.04,8,1,1147371854.0,None,None,None
20251028,600276.SH,恒瑞医药,63.62,-3.39,3,1,1800803167.0,None,None,None
20251028,600519.SH,贵州茅台,1445.0,4.59,6,1,1297028516.0,None,None,None
20251028,601138.SH,工业富联,73.99,1.23,1,1,3064582984.0,None,None,None
20251028,601899.SH,紫金矿业,29.84,-1.16,4,1,1731768597.0,None,None,None
20251028,603259.SH,药明康德,103.96,-2.68,10,1,1006146254.0,None,None,None
20251028,603986.SH,兆易创新,246.95,3.76,5,1,1449054883.0,None,None,None
20251028,688111.SH,金山办公,337.21,20.21,9,1,1114485456.0,None,None,None
20251028,688256.SH,寒武纪,1478.58,-52.1,2,1,1922967358.0,None,None,None
20251027,002371.SZ,北方华创,429.1,14.3,7,3,1580747004.0,None,None,None
20251027,002384.SZ,东山精密,74.47,5.32,8,3,1433512353.0,None,None,None
20251027,002475.SZ,立讯精密,65.4,1.49,4,3,2997983353.0,None,None,None
20251027,300014.SZ,亿纬锂能,76.89,-3.36,9,3,1400845801.0,None,None,None
20251027,300059.SZ,东方财富,26.04,0.14,10,3,1330444606.0,None,None,None
20251027,300274.SZ,阳光电源,166.95,1.95,5,3,2369972725.0,None,None,None
20251027,300308.SZ,中际旭创,508.94,14.94,1,3,4704829351.0,None,None,None
20251027,300476.SZ,胜宏科技,340.32,31.34,6,3,1775343414.0,None,None,None
20251027,300502.SZ,新易盛,403.95,30.98,3,3,3954621530.0,None,None,None
20251027,300750.SZ,宁德时代,386.18,0.41,2,3,4244894494.0,None,None,None
20251027,600030.SH,中信证券,29.99,0.12,5,1,1660296364.0,None,None,None
20251027,600111.SH,北方稀土,53.31,2.12,7,1,1452255376.0,None,None,None
20251027,600519.SH,贵州茅台,1440.41,-9.59,8,1,1319713240.0,None,None,None
20251027,601138.SH,工业富联,72.76,5.51,1,1,3073604285.0,None,None,None
20251027,601899.SH,紫金矿业,31.0,0.97,3,1,2046135713.0,None,None,None
20251027,603259.SH,药明康德,106.64,2.83,4,1,1935354468.0,None,None,None
20251027,603986.SH,兆易创新,243.19,22.11,6,1,1547241851.0,None,None,None
20251027,688008.SH,澜起科技,151.01,4.96,10,1,1314551460.0,None,None,None
20251027,688012.SH,中微公司,295.37,14.01,9,1,1318210373.0,None,None,None
20251027,688256.SH,寒武纪,1530.68,5.68,2,1,2477701552.0,None,None,None
20251024,002371.SZ,北方华创,414.8,11.22,8,3,1099620757.0,None,None,None
20251024,002384.SZ,东山精密,69.15,3.4,7,3,1160616268.0,None,None,None
20251024,002475.SZ,立讯精密,63.91,3.77,3,3,2914637259.0,None,None,None
20251024,300274.SZ,阳光电源,165.0,11.48,5,3,2073421196.0,None,None,None
20251024,300308.SZ,中际旭创,494.0,53.12,1,3,4424460788.0,None,None,None
20251024,300394.SZ,天孚通信,178.0,10.8,9,3,1017984791.0,None,None,None
20251024,300475.SZ,香农芯创,127.57,21.26,10,3,987172497.0,None,None,None
20251024,300476.SZ,胜宏科技,308.98,22.76,6,3,1271678611.0,None,None,None
20251024,300502.SZ,新易盛,372.97,25.21,2,3,2956827789.0,None,None,None
20251024,300750.SZ,宁德时代,385.77,9.32,4,3,2908807506.0,None,None,None
20251024,600030.SH,中信证券,29.87,0.35,5,1,1405273220.0,None,None,None
20251024,600036.SH,招商银行,41.95,-0.29,10,1,893708312.0,None,None,None
20251024,600519.SH,贵州茅台,1450.0,-17.98,3,1,1564631699.0,None,None,None
20251024,601138.SH,工业富联,67.25,3.26,2,1,1664880772.0,None,None,None
20251024,601899.SH,紫金矿业,30.03,0.33,9,1,1036069673.0,None,None,None
20251024,603259.SH,药明康德,103.81,1.91,7,1,1357997235.0,None,None,None
20251024,688008.SH,澜起科技,146.05,9.63,8,1,1113110332.0,None,None,None
20251024,688012.SH,中微公司,281.36,14.16,4,1,1486770024.0,None,None,None
20251024,688041.SH,海光信息,249.01,12.86,6,1,1394197128.0,None,None,None
20251024,688256.SH,寒武纪,1525.0,126.1,1,1,2681963453.0,None,None,None
20251023,001309.SZ,德明利,197.2,7.77,8,3,889199425.0,None,None,None
20251023,002460.SZ,赣锋锂业,64.16,3.38,9,3,828926794.0,None,None,None
20251023,002475.SZ,立讯精密,60.14,0.03,4,3,1657483146.0,None,None,None
20251023,300059.SZ,东方财富,25.47,0.35,7,3,897548168.0,None,None,None
20251023,300274.SZ,阳光电源,153.52,4.2,5,3,1181069633.0,None,None,None
20251023,300308.SZ,中际旭创,440.88,-3.42,1,3,3087520164.0,None,None,None
20251023,300476.SZ,胜宏科技,286.22,7.62,6,3,1020552844.0,None,None,None
20251023,300502.SZ,新易盛,347.76,-15.07,3,3,1997249370.0,None,None,None
20251023,300750.SZ,宁德时代,376.45,3.59,2,3,2347945062.0,None,None,None
20251023,301308.SZ,江波龙,190.19,9.27,10,3,817422582.0,None,None,None
20251023,600276.SH,恒瑞医药,65.14,-0.12,5,1,940573483.0,None,None,None
20251023,600519.SH,贵州茅台,1467.98,9.28,4,1,1131713016.0,None,None,None
