ts_code,ann_date,name,gender,lev,title,edu,national,birthday,begin_date,end_date
002160.SZ,20240810,石颖,M,高管,法定代表人,硕士,中国,1982,20240717,
000950.SZ,20240810,张聪,M,委员会成员,投资委员会委员,硕士,中国,1985,20231130,20240809
000950.SZ,20240810,张聪,M,委员会成员,战略委员会委员,硕士,中国,1985,20211129,20240809
000950.SZ,20240810,张聪,M,董事会成员,董事,硕士,中国,1985,20211129,20240809
002760.SZ,20240809,周政华,,董事会成员,董事,本科,,1966,20240808,
002760.SZ,20240809,田信普,,董事会成员,董事,硕士,,1964,20240808,
000972.SZ,20240809,刘洪,M,委员会成员,ESG委员会主任,硕士,中国,1965,20240709,
000972.SZ,20240809,庄炎勋,M,委员会成员,薪酬与考核委员会委员,专科,中国,197307,20240709,
000972.SZ,20240809,刘洪,M,委员会成员,ESG委员会委员,硕士,中国,1965,20240709,
000972.SZ,20240809,毛文波,M,委员会成员,ESG委员会委员,本科,中国,197407,20240709,
000972.SZ,20240809,庄炎勋,M,委员会成员,ESG委员会委员,专科,中国,197307,20240709,
000972.SZ,20240809,毛文波,M,委员会成员,战略委员会委员,本科,中国,197407,20240709,
000972.SZ,20240809,王晓刚,M,委员会成员,薪酬与考核委员会主任,本科,中国,197404,20240709,
000972.SZ,20240809,王晓刚,M,委员会成员,薪酬与考核委员会委员,本科,中国,197404,20240709,
000972.SZ,20240809,黄勇,M,委员会成员,薪酬与考核委员会委员,本科,中国,196910,20240709,
000972.SZ,20240809,黄勇,M,委员会成员,提名委员会主任,本科,中国,196910,20240709,
000972.SZ,20240809,黄勇,M,委员会成员,提名委员会委员,本科,中国,196910,20240709,
000972.SZ,20240809,王康平,M,委员会成员,提名委员会委员,硕士,中国,198809,20240709,
000972.SZ,20240809,王晓刚,M,委员会成员,审计委员会委员,本科,中国,197404,20240709,
000972.SZ,20240809,袁家东,M,委员会成员,审计委员会委员,本科,中国,196811,20240709,
603083.SH,20240809,程谷成,M,高管,副总经理,本科,中国,1989,20240807,
603083.SH,20240809,程谷成,M,高管,财务负责人,本科,中国,1989,20240807,
603599.SH,20240809,刘开政,M,监事,职工监事,,中国,1969,,
603895.SH,20240809,黄微微,F,高管,财务负责人,本科,中国,198706,20240808,
001269.SZ,20240809,张健,M,高管,副总经理,本科,中国,199011,20240808,
001269.SZ,20240809,韩君勇,M,高管,副总经理,专科,中国,198906,20240808,
001269.SZ,20240809,王陆锋,M,高管,副总经理,专科,中国,199011,20240808,
600345.SH,20240809,吕迪,F,监事,监事,本科,中国,198610,20240808,
600345.SH,20240809,雷霆,M,董事会成员,董事,硕士,中国,197511,20240808,
600345.SH,20240809,余斌,M,董事会成员,董事,本科,中国,196802,20240808,
002760.SZ,20240809,包强,M,委员会成员,提名委员会委员,本科,中国,1964,20240808,
002760.SZ,20240809,周政华,,委员会成员,战略委员会委员,本科,,1966,20240808,
002760.SZ,20240809,田信普,,委员会成员,战略委员会委员,硕士,,1964,20240808,
002760.SZ,20240809,赵宇光,M,委员会成员,审计委员会委员,博士,中国,1955,20240808,
002760.SZ,20240809,田信普,,委员会成员,薪酬与考核委员会委员,硕士,,1964,20240808,
002760.SZ,20240809,周政华,,委员会成员,战略委员会召集人,本科,,1966,20240808,
002827.SZ,20240809,万红路,M,监事,监事,本科,中国,197210,,
300188.SZ,20240809,邱毓彬,M,监事,职工监事,硕士,中国,198407,20240807,
300188.SZ,20240809,靳玉晨,M,监事,监事,硕士,中国,198308,,
300188.SZ,20240809,董石,F,监事,监事,硕士,中国,198202,,
600345.SH,20240809,朱德民,M,董事会成员,董事,本科,中国,196808,20240808,
600345.SH,20240809,胡泊,M,董事会成员,董事,本科,中国,198410,20240808,
600345.SH,20240809,杨立志,M,董事会成员,独立董事,本科,中国,197803,20240808,
002017.SZ,20240809,林旭龙,M,监事,职工监事,本科,,198405,20240809,
601598.SH,20240809,刘振华,M,委员会成员,战略委员会委员,硕士,,,20240611,20240808
000972.SZ,20240809,李红,F,委员会成员,提名委员会委员,本科,中国,197510,20240808,
000972.SZ,20240809,李红,F,委员会成员,审计委员会主任,本科,中国,197510,20240808,
000972.SZ,20240809,李红,F,委员会成员,审计委员会委员,本科,中国,197510,20240808,
301256.SZ,20240809,刘磊,M,委员会成员,薪酬与考核委员会委员,硕士,中国,196504,20240808,
000926.SZ,20240809,柯久明,M,董事会成员,董事,硕士,中国,,20240808,
600072.SH,20240809,顾彩银,M,高管,副总经理,硕士,中国,1980,20240807,
600345.SH,20240809,詹丛红,F,监事,监事会主席,本科,中国,197008,20240808,
600345.SH,20240809,胡泊,M,委员会成员,战略委员会委员,本科,中国,198410,20240808,
600345.SH,20240809,杨立志,M,委员会成员,战略委员会委员,本科,中国,197803,20240808,
600345.SH,20240809,周赵云,M,高管,副总裁,硕士,中国,197907,20240808,
600345.SH,20240809,张希青,F,其他,董事会证券事务代表,硕士,中国,197507,20240808,
002760.SZ,20240809,周政华,,董事会成员,董事长,本科,,1966,20240808,
002760.SZ,20240809,周政华,,高管,法定代表人,本科,,1966,20240808,
002237.SZ,20240809,詹健,M,董事会成员,董事,硕士,中国,196809,,
002237.SZ,20240809,詹健,M,委员会成员,薪酬与考核委员会委员,硕士,中国,196809,,
600941.SH,20240809,孙迎新,M,高管,副总经理,,,,20240712,
600941.SH,20240809,张冬,M,高管,副总经理,,,,20240712,
300188.SZ,20240809,杨晨晖,M,董事会成员,独立董事,博士,中国,196711,,
600345.SH,20240809,林永生,M,高管,副总裁,本科,中国,197511,20240429,
600345.SH,20240809,赵九泉,M,高管,副总裁,本科,中国,197612,20240429,
300188.SZ,20240809,惠澎,M,董事会成员,董事,博士,中国,197302,20240510,
300188.SZ,20240809,杨瑾,F,董事会成员,董事,本科,中国,197403,20240510,
300188.SZ,20240809,陈晶,F,董事会成员,董事,硕士,中国,198312,20240510,
601598.SH,20240809,刘振华,M,董事会成员,非执行董事,硕士,,,20240607,20240808
000582.SZ,20240809,莫启誉,M,委员会成员,战略委员会委员,硕士,中国,196903,20240520,20240808
600345.SH,20240809,邱祥平,M,董事会成员,董事,硕士,中国,197711,20240329,
600345.SH,20240809,雷霆,M,高管,总裁,硕士,中国,197511,20240312,
600345.SH,20240809,邱祥平,M,董事会成员,董事长,硕士,中国,197711,20240329,
600345.SH,20240809,邱祥平,M,委员会成员,提名委员会委员,硕士,中国,197711,20240329,
600345.SH,20240809,邱祥平,M,委员会成员,薪酬与考核委员会委员,硕士,中国,197711,20240329,
600345.SH,20240809,邱祥平,M,委员会成员,战略委员会主任,硕士,中国,197711,20240329,
600345.SH,20240809,邱祥平,M,委员会成员,战略委员会委员,硕士,中国,197711,20240329,
600345.SH,20240809,邱祥平,M,高管,法定代表人,硕士,中国,197711,20240329,
601398.SH,20240809,莫里？洪恩,M,委员会成员,战略委员会委员,博士,,195402,20240808,
601398.SH,20240809,莫里？洪恩,M,委员会成员,提名委员会委员,博士,,195402,20240808,
601398.SH,20240809,莫里？洪恩,M,委员会成员,薪酬委员会委员,博士,,195402,20240808,
601398.SH,20240809,莫里？洪恩,M,委员会成员,风险管理委员会委员,博士,,195402,20240808,
601398.SH,20240809,莫里？洪恩,M,董事会成员,独立董事,博士,,195402,20240808,
002760.SZ,20240809,李文杰,M,董事会成员,董事长,专科,中国,1973,20240123,20240808
002760.SZ,20240809,李文杰,M,高管,法定代表人,专科,中国,1973,20240123,20240808
002760.SZ,20240809,赵宇光,M,委员会成员,战略委员会委员,博士,中国,1955,20240123,20240808
002760.SZ,20240809,李文杰,M,委员会成员,战略委员会召集人,专科,中国,1973,20240123,20240808
002760.SZ,20240809,赵宇光,M,委员会成员,提名委员会委员,博士,中国,1955,20240123,20240808
002237.SZ,20240809,彭国诚,M,委员会成员,薪酬与考核委员会委员,本科,中国,196510,20231128,20240808
002237.SZ,20240809,彭国诚,M,董事会成员,董事,本科,中国,196510,20231128,20240808
600345.SH,20240809,詹丛红,F,监事,监事,本科,中国,197008,20231030,
600345.SH,20240809,吴志宏,M,董事会成员,董事,硕士,中国,196903,20230602,
000582.SZ,20240809,莫启誉,M,董事会成员,董事,硕士,中国,196903,20230206,20240808
603153.SH,20240809,王广斌,M,董事会成员,独立董事,博士,中国,196704,20201108,
603153.SH,20240809,王广斌,M,委员会成员,薪酬与考核委员会委员,博士,中国,196704,20201105,
603153.SH,20240809,王广斌,M,委员会成员,薪酬与考核委员会召集人,博士,中国,196704,20201105,
603153.SH,20240809,王广斌,M,委员会成员,战略、科技与ESG委员会委员,博士,中国,196704,20201105,
000972.SZ,20240809,刘洪,M,委员会成员,战略委员会主任,硕士,中国,1965,20220929,
