ts_code,ann_date,name,gender,lev,title,edu,national,birthday,begin_date,end_date
002533.SZ,20240202,黄跃宇,M,高管,董事会秘书,硕士,中国,198005,20221010,None
002533.SZ,20240202,陈海兵,M,董事会成员,董事,硕士,中国,197412,20100517,None
002533.SZ,20240202,陈海兵,M,委员会成员,提名委员会委员,硕士,中国,197412,20240201,None
002533.SZ,20240202,陈海兵,M,高管,副总裁,硕士,中国,197412,20100517,None
002533.SZ,20240202,钟华,F,高管,财务总监,本科,中国,197512,20180212,None
002533.SZ,20240202,谢良琼,M,高管,高级副总裁,硕士,中国,197603,20240201,None
002533.SZ,20240202,蒋华,M,董事会成员,董事,本科,中国,197211,20240201,None
002533.SZ,20240202,蒋华,M,高管,副总裁,本科,中国,197211,20230111,None
002533.SZ,20240202,蒋元,F,监事,监事会主席,本科,中国,198911,20240201,None
002533.SZ,20240202,蒋元,F,监事,监事,本科,中国,198911,20240201,None
002533.SZ,20240202,范志宏,M,董事会成员,董事,硕士,中国,196604,20100517,None
002533.SZ,20240202,范志宏,M,董事会成员,副董事长,硕士,中国,196604,20100517,None
002533.SZ,20240202,范志宏,M,高管,副总裁,硕士,中国,196604,20170109,None
002533.SZ,20240202,肖红英,F,董事会成员,独立董事,硕士,中国,197410,20240201,None
002533.SZ,20240202,肖红英,F,委员会成员,提名委员会委员,硕士,中国,197410,20240201,None
002533.SZ,20240202,肖红英,F,委员会成员,审计委员会委员,硕士,中国,197410,20240201,None
002533.SZ,20240202,肖红英,F,委员会成员,审计委员会召集人,硕士,中国,197410,20240201,None
002533.SZ,20240202,朱理,M,其他,董事会证券事务代表,本科,中国,198708,20210729,None
002533.SZ,20240202,夏君山,M,董事会成员,董事,本科,中国,196711,20240201,None
002533.SZ,20240202,周祖勤,M,委员会成员,薪酬与考核委员会委员,硕士,中国,196412,20240201,None
002533.SZ,20240202,周祖勤,M,董事会成员,董事,硕士,中国,196412,20100517,None
002533.SZ,20240202,周祖勤,M,高管,总裁,硕士,中国,196412,20180104,None
002533.SZ,20240202,吴学愚,M,董事会成员,董事长,本科,中国,196506,20100517,None
002533.SZ,20240202,吴学愚,M,董事会成员,董事,本科,中国,196506,20100517,None
002533.SZ,20240202,吴学愚,M,高管,法定代表人,本科,中国,196506,20100517,None
002533.SZ,20240202,吴学愚,M,委员会成员,审计委员会委员,本科,中国,196506,20100517,None
002533.SZ,20240202,吴士敏,M,委员会成员,薪酬与考核委员会委员,硕士,中国,195906,20240201,None
002533.SZ,20240202,吴士敏,M,委员会成员,薪酬与考核委员会召集人,硕士,中国,195906,20240201,None
002533.SZ,20240202,吴士敏,M,董事会成员,独立董事,硕士,中国,195906,20201231,None
002533.SZ,20240202,吴士敏,M,委员会成员,审计委员会委员,硕士,中国,195906,20210109,None
002533.SZ,20240202,刘练强,M,监事,监事,本科,中国,197409,20240201,None
002533.SZ,20240202,WEI CAI,M,委员会成员,薪酬与考核委员会委员,博士,加拿大,195909,20210109,None
002533.SZ,20240202,WEI CAI,M,董事会成员,独立董事,博士,加拿大,195909,20201231,None
002533.SZ,20240202,WEI CAI,M,委员会成员,提名委员会委员,博士,加拿大,195909,20210109,None
002533.SZ,20240202,WEI CAI,M,委员会成员,提名委员会召集人,博士,加拿大,195909,20240201,None
002533.SZ,20240126,唐桂良,M,监事,职工监事,本科,中国,197004,20240124,None
002533.SZ,20230112,王舒军,M,董事会成员,董事,博士,中国,198109,20201231,20230111
002533.SZ,20221027,陶茜,F,监事,监事,本科,中国,198610,20211111,20221026
002533.SZ,20221027,罗明磊,M,监事,监事,硕士,中国,198704,20221026,20240201
002533.SZ,20221011,邓绍坤,M,高管,董事会秘书,本科,中国,198302,20200221,20221010
002533.SZ,20211112,朱理,M,监事,监事,本科,中国,198708,20191216,20211111
002533.SZ,20210430,周正初,M,监事,职工监事,专科,中国,196401,20210428,20240124
002533.SZ,20210430,周欢,F,监事,职工监事,本科,中国,198810,20161207,20210428
002533.SZ,20210424,周欢,F,其他,董事会证券事务代表,本科,中国,198810,20200221,20210423
002533.SZ,20210112,阳文锋,M,高管,总工程师,本科,中国,196710,20190221,20240201
002533.SZ,20210112,谢良琼,M,高管,副总经理,硕士,中国,197603,20210109,20240201
002533.SZ,20210112,樊行健,M,委员会成员,薪酬与考核委员会委员,本科,中国,194402,20210109,20240201
002533.SZ,20210112,樊行健,M,委员会成员,审计委员会委员,本科,中国,194402,20170109,20240201
002533.SZ,20210112,樊行健,M,委员会成员,审计委员会召集人,本科,中国,194402,20170109,20240201
002533.SZ,20210112,吴学愚,M,委员会成员,薪酬与考核委员会委员,本科,中国,196506,20130718,20240201
002533.SZ,20210112,吴学愚,M,委员会成员,提名委员会委员,本科,中国,196506,20130718,20240201
002533.SZ,20210112,吴士敏,M,委员会成员,提名委员会委员,硕士,中国,195906,20210109,20240201
002533.SZ,20210112,吴士敏,M,委员会成员,提名委员会召集人,硕士,中国,195906,20210109,20240201
002533.SZ,20210112,刘利文,M,监事,监事会主席,专科,中国,196701,20130317,20240201
002533.SZ,20210112,WEI CAI,M,委员会成员,薪酬与考核委员会召集人,博士,加拿大,195909,20210109,20240201
002533.SZ,20210104,谢良琼,M,董事会成员,董事,硕士,中国,197603,20161223,20240201
002533.SZ,20210104,樊行健,M,董事会成员,独立董事,本科,中国,194402,20161223,20240201
002533.SZ,20210104,刘利文,M,监事,监事,专科,中国,196701,20100517,20240201
002533.SZ,20200222,邓绍坤,M,其他,董事会证券事务代表,本科,中国,198302,20111206,20200221
002533.SZ,20200222,吴学愚,M,高管,代董事会秘书,本科,中国,196506,20190202,20200221
002533.SZ,20191119,娄国军,M,监事,监事,专科,中国,196212,20161223,20191118
002533.SZ,20190202,黄喜华,M,高管,董事会秘书,本科,中国,197512,20100517,20190202
002533.SZ,20190202,黄喜华,M,高管,常务副总经理,本科,中国,197512,20170109,20190202
002533.SZ,20190126,杨志强,M,高管,总工程师,本科,中国,195402,20121214,20190126
002533.SZ,20180124,蒋华,M,董事会成员,董事,本科,中国,197211,20180123,20201230
002533.SZ,20180105,周祖勤,M,高管,副总经理,硕士,中国,196412,20100517,20180104
002533.SZ,20180104,唐崇健,M,董事会成员,董事,硕士,中国,196507,20130927,20180103
002533.SZ,20180104,唐崇健,M,高管,总经理,硕士,中国,196507,20130906,20180103
