ts_code,ann_date,name,gender,lev,title,edu,national,birthday,begin_date,end_date
605151.SH,20240517,黄燕华,F,高管,财务总监,本科,中国,197807,20240516,None
605151.SH,20240517,袁树民,M,委员会成员,薪酬与考核委员会委员,博士,中国,195102,20210518,None
605151.SH,20240517,袁树民,M,董事会成员,独立董事,博士,中国,195102,20210518,None
605151.SH,20240517,袁树民,M,委员会成员,审计委员会委员,博士,中国,195102,20210518,None
605151.SH,20240517,袁树民,M,委员会成员,审计委员会召集人,博士,中国,195102,20210518,None
605151.SH,20240517,潘厚丰,M,监事,监事会主席,本科,中国,197601,20240516,None
605151.SH,20240517,潘厚丰,M,监事,监事,本科,中国,197601,20240516,None
605151.SH,20240517,李加宝,M,其他,董事会证券事务代表,硕士,中国,198411,20240516,None
605151.SH,20240517,李加宝,M,高管,董事会秘书,硕士,中国,198411,20220126,None
605151.SH,20240517,朱燕阳,M,董事会成员,董事长,硕士,中国,196808,20150302,None
605151.SH,20240517,朱燕阳,M,董事会成员,董事,硕士,中国,196808,20150206,None
605151.SH,20240517,朱燕阳,M,高管,法定代表人,硕士,中国,196808,20150302,None
605151.SH,20240517,朱燕阳,M,委员会成员,提名委员会委员,硕士,中国,196808,20180123,None
605151.SH,20240517,朱燕阳,M,委员会成员,战略委员会委员,硕士,中国,196808,20180123,None
605151.SH,20240517,朱燕阳,M,委员会成员,战略委员会召集人,硕士,中国,196808,20240516,None
605151.SH,20240517,朱燕阳,M,高管,总裁,硕士,中国,196808,20150302,None
605151.SH,20240517,戴屹,M,董事会成员,董事,硕士,中国,198302,20240516,None
605151.SH,20240517,左新宇,M,董事会成员,独立董事,硕士,中国,1977,20210518,None
605151.SH,20240517,左新宇,M,委员会成员,提名委员会委员,硕士,中国,1977,20210518,None
605151.SH,20240517,左新宇,M,委员会成员,提名委员会召集人,硕士,中国,1977,20210518,None
605151.SH,20240517,左新宇,M,委员会成员,战略委员会委员,硕士,中国,1977,20210518,None
605151.SH,20240517,吴晓焱,F,委员会成员,薪酬与考核委员会委员,本科,中国香港,198508,20240516,None
605151.SH,20240517,吴晓焱,F,董事会成员,董事,本科,中国香港,198508,20240516,None
605151.SH,20240517,吴坚,M,委员会成员,薪酬与考核委员会委员,硕士,中国,196803,20210518,None
605151.SH,20240517,吴坚,M,委员会成员,薪酬与考核委员会召集人,硕士,中国,196803,20210518,None
605151.SH,20240517,吴坚,M,董事会成员,独立董事,硕士,中国,196803,20210518,None
605151.SH,20240517,吴坚,M,委员会成员,提名委员会委员,硕士,中国,196803,20210518,None
605151.SH,20240517,吴坚,M,委员会成员,审计委员会委员,硕士,中国,196803,20210518,None
605151.SH,20240517,卜嘉胜,M,监事,监事,硕士,中国,197907,20240516,None
605151.SH,20240517,严飞,M,董事会成员,董事,硕士,中国,197509,20240516,None
605151.SH,20240517,严飞,M,委员会成员,战略委员会委员,硕士,中国,197509,20240516,None
605151.SH,20240517,严飞,M,高管,总裁助理,硕士,中国,197509,20240516,None
605151.SH,20240517,SISI LIN,F,董事会成员,董事,硕士,澳大利亚,198903,20240516,None
605151.SH,20240517,CAO JINGLIN,F,董事会成员,董事,本科,澳大利亚,197902,20240516,None
605151.SH,20240517,CAO JINGLIN,F,委员会成员,审计委员会委员,本科,澳大利亚,197902,20240516,None
605151.SH,20240425,陈林,M,监事,职工监事,硕士,中国,199011,20240423,None
605151.SH,20220127,严飞,M,高管,代董事会秘书,硕士,中国,197509,20220118,20220126
605151.SH,20220119,卢晓东,M,高管,董事会秘书,本科,中国,197011,20150302,20220118
605151.SH,20210519,陈德兴,M,监事,监事会主席,专科,中国,195410,20180208,20240516
605151.SH,20210519,陈德兴,M,监事,监事,专科,中国,195410,20180123,20240516
605151.SH,20210519,潘厚丰,M,董事会成员,董事,本科,中国,197601,20180123,20240516
605151.SH,20210519,江华,F,董事会成员,董事,专科,中国,196108,20180123,20240516
605151.SH,20210519,江华,F,委员会成员,审计委员会委员,专科,中国,196108,20180123,20240516
605151.SH,20210519,朱元栋,M,监事,监事,本科,中国,196205,20180123,20240516
605151.SH,20210519,曹抗美,M,董事会成员,董事,专科,中国,195110,20180123,20240516
605151.SH,20210519,曹抗美,M,委员会成员,战略委员会委员,专科,中国,195110,20180123,20240516
605151.SH,20210519,曹抗美,M,委员会成员,战略委员会召集人,专科,中国,195110,20180123,20240516
605151.SH,20210519,戴华淼,M,董事会成员,董事,高中,中国,195409,20180123,20240516
605151.SH,20210519,吴建良,M,委员会成员,薪酬与考核委员会委员,本科,中国,196211,20180123,20240516
605151.SH,20210519,吴建良,M,董事会成员,董事,本科,中国,196211,20180123,20240516
605151.SH,20210519,卢晓东,M,其他,运营总监,本科,中国,197011,20210518,None
605151.SH,20210519,严飞,M,高管,财务总监,硕士,中国,197509,20150302,20240516
605151.SH,20210428,黄燕华,F,监事,职工监事,本科,中国,197807,20170116,20240423
605151.SH,20201124,马增荣,M,董事会成员,独立董事,硕士,中国,196808,20180123,20210517
605151.SH,20201124,马增荣,M,委员会成员,提名委员会委员,硕士,中国,196808,20180123,20210517
605151.SH,20201124,马增荣,M,委员会成员,提名委员会召集人,硕士,中国,196808,20180123,20210517
605151.SH,20201124,马增荣,M,委员会成员,战略委员会委员,硕士,中国,196808,20180123,20210517
605151.SH,20201124,张晓今,F,委员会成员,薪酬与考核委员会委员,硕士,中国,197201,20180123,20210517
605151.SH,20201124,张晓今,F,董事会成员,独立董事,硕士,中国,197201,20180123,20210517
605151.SH,20201124,张晓今,F,委员会成员,审计委员会委员,硕士,中国,197201,20180123,20210517
605151.SH,20201124,张晓今,F,委员会成员,审计委员会召集人,硕士,中国,197201,20180123,20210517
605151.SH,20201124,厉明,M,委员会成员,薪酬与考核委员会委员,硕士,中国,196307,20180123,20210517
605151.SH,20201124,厉明,M,委员会成员,薪酬与考核委员会召集人,硕士,中国,196307,20180123,20210517
605151.SH,20201124,厉明,M,董事会成员,独立董事,硕士,中国,196307,20180123,20210517
605151.SH,20201124,厉明,M,委员会成员,提名委员会委员,硕士,中国,196307,20180123,20210517
605151.SH,20201124,厉明,M,委员会成员,审计委员会委员,硕士,中国,196307,20180123,20210517
605151.SH,20201124,卢晓东,M,高管,副总经理,本科,中国,197011,20180123,None
