ts_code,name,area,industry,market,exchange,list_date,delist_date
000001.SZ,平安银行,深圳,银行,主板,SZSE,19910403,None
000002.SZ,万科A,深圳,全国地产,主板,SZSE,19910129,None
000004.SZ,*ST国华,深圳,软件服务,主板,SZSE,19910114,None
000006.SZ,深振业A,深圳,区域地产,主板,SZSE,19920427,None
000007.SZ,全新好,深圳,其他商业,主板,SZSE,19920413,None
000008.SZ,神州高铁,北京,运输设备,主板,SZSE,19920507,None
000009.SZ,中国宝安,深圳,电气设备,主板,SZSE,19910625,None
000010.SZ,美丽生态,深圳,建筑工程,主板,SZSE,19951027,None
000011.SZ,深物业A,深圳,房产服务,主板,SZSE,19920330,None
000012.SZ,南玻A,深圳,玻璃,主板,SZSE,19920228,None
000014.SZ,沙河股份,深圳,全国地产,主板,SZSE,19920602,None
000016.SZ,深康佳A,深圳,家用电器,主板,SZSE,19920327,None
000017.SZ,深中华A,深圳,服饰,主板,SZSE,19920331,None
000019.SZ,深粮控股,深圳,农业综合,主板,SZSE,19921012,None
000020.SZ,深华发A,深圳,元器件,主板,SZSE,19920428,None
000021.SZ,深科技,深圳,元器件,主板,SZSE,19940202,None
000025.SZ,特力A,深圳,综合类,主板,SZSE,19930621,None
000026.SZ,飞亚达,深圳,服饰,主板,SZSE,19930603,None
000027.SZ,深圳能源,深圳,火力发电,主板,SZSE,19930903,None
000028.SZ,国药一致,深圳,医药商业,主板,SZSE,19930809,None
000029.SZ,深深房A,深圳,区域地产,主板,SZSE,19930915,None
000030.SZ,富奥股份,吉林,汽车配件,主板,SZSE,19930929,None
000031.SZ,大悦城,深圳,全国地产,主板,SZSE,19931008,None
000032.SZ,深桑达A,深圳,建筑工程,主板,SZSE,19931028,None
000034.SZ,神州数码,深圳,软件服务,主板,SZSE,19940509,None
000035.SZ,中国天楹,江苏,环境保护,主板,SZSE,19940408,None
000036.SZ,华联控股,深圳,全国地产,主板,SZSE,19940617,None
000037.SZ,深南电A,深圳,火力发电,主板,SZSE,19940701,None
000039.SZ,中集集团,深圳,运输设备,主板,SZSE,19940408,None
000042.SZ,中洲控股,深圳,全国地产,主板,SZSE,19940921,None
000045.SZ,深纺织A,深圳,元器件,主板,SZSE,19940815,None
000048.SZ,京基智农,深圳,农业综合,主板,SZSE,19941101,None
000049.SZ,德赛电池,深圳,电气设备,主板,SZSE,19950320,None
000050.SZ,深天马A,深圳,元器件,主板,SZSE,19950315,None
000055.SZ,方大集团,深圳,其他建材,主板,SZSE,19960415,None
000056.SZ,皇庭国际,深圳,其他商业,主板,SZSE,19960708,None
000058.SZ,深赛格,深圳,商品城,主板,SZSE,19961226,None
000059.SZ,华锦股份,辽宁,石油加工,主板,SZSE,19970130,None
000060.SZ,中金岭南,深圳,铅锌,主板,SZSE,19970123,None
000061.SZ,农产品,深圳,农业综合,主板,SZSE,19970110,None
000062.SZ,深圳华强,深圳,元器件,主板,SZSE,19970130,None
000063.SZ,中兴通讯,深圳,通信设备,主板,SZSE,19971118,None
000065.SZ,北方国际,北京,建筑工程,主板,SZSE,19980605,None
000066.SZ,中国长城,深圳,IT设备,主板,SZSE,19970626,None
000068.SZ,华控赛格,深圳,环境保护,主板,SZSE,19970611,None
000069.SZ,华侨城A,深圳,全国地产,主板,SZSE,19970910,None
000070.SZ,特发信息,深圳,通信设备,主板,SZSE,20000511,None
000078.SZ,海王生物,深圳,医药商业,主板,SZSE,19981218,None
000088.SZ,盐田港,深圳,港口,主板,SZSE,19970728,None
000089.SZ,深圳机场,深圳,机场,主板,SZSE,19980420,None
000090.SZ,天健集团,深圳,建筑工程,主板,SZSE,19990721,None
000096.SZ,广聚能源,深圳,石油贸易,主板,SZSE,20000724,None
000099.SZ,中信海直,深圳,空运,主板,SZSE,20000731,None
000100.SZ,TCL科技,广东,元器件,主板,SZSE,20040130,None
000151.SZ,中成股份,北京,商贸代理,主板,SZSE,20000906,None
000153.SZ,丰原药业,安徽,化学制药,主板,SZSE,20000920,None
000155.SZ,川能动力,四川,新型电力,主板,SZSE,20000926,None
000156.SZ,华数传媒,浙江,影视音像,主板,SZSE,20000906,None
000157.SZ,中联重科,湖南,工程机械,主板,SZSE,20001012,None
000158.SZ,常山北明,河北,软件服务,主板,SZSE,20000724,None
000159.SZ,国际实业,新疆,石油贸易,主板,SZSE,20000926,None
